Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Charlie Taylor,eng ENG,DF,Southampton,31-032,1993,5,2,209,2.3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,2,6,6,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
Cheick Doucouré,ml MLI,MF,Crystal Palace,24-286,2000,3,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27-172,1997,4,2,204,2.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,6,0,13,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
Chiquinho,pt POR,MF,Wolves,24-258,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.42,0,0.42,Matches
Chris Richards,us USA,DF,Crystal Palace,24-206,2000,4,4,344,3.8,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,5,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
Chris Wood,nz NZL,FW,Nott'ham Forest,32-318,1991,7,7,558,6.2,4,0,4,3,1,1,1,0,2.5,1.7,0.7,2.5,4,7,14,0.65,0,0.65,0.48,0.48,0.4,0.12,0.52,0.28,0.4,Matches
Christian Eriksen,dk DEN,MF,Manchester Utd,32-249,1992,6,4,350,3.9,0,0,0,0,0,0,2,0,0.1,0.1,1.5,1.6,3,23,12,0,0,0,0,0,0.02,0.39,0.41,0.02,0.41,Matches
Christian Nørgaard,dk DEN,MF,Brentford,30-224,1994,6,6,526,5.8,1,0,1,1,0,0,2,0,0.9,0.9,0.2,1.1,4,20,9,0.17,0,0.17,0.17,0.17,0.15,0.03,0.18,0.15,0.18,Matches
Christian Walton,eng ENG,GK,Ipswich Town,28-346,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Christopher Nkunku,fr FRA,FW,Chelsea,26-341,1997,7,1,131,1.5,1,0,1,1,0,0,0,0,1.6,1.6,0.3,1.8,3,5,14,0.69,0,0.69,0.69,0.69,1.06,0.2,1.26,1.06,1.26,Matches
Cody Gakpo,nl NED,FW,Liverpool,25-166,1999,7,1,214,2.4,0,1,1,0,0,0,2,0,0.5,0.5,0.7,1.2,4,7,35,0,0.42,0.42,0,0.42,0.21,0.3,0.51,0.21,0.51,Matches
Cole Palmer,eng ENG,"MF,FW",Chelsea,22-167,2002,7,7,595,6.6,6,5,11,5,1,1,3,0,4.4,3.6,3.8,7.3,24,47,32,0.91,0.76,1.66,0.76,1.51,0.66,0.57,1.23,0.54,1.11,Matches
Conor Bradley,nir NIR,DF,Liverpool,21-103,2003,4,0,79,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,6,5,5,0,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches
Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27-247,1997,7,1,129,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,7,7,0,0,0,0,0,0.1,0.07,0.17,0.1,0.17,Matches
Conor Coady,eng ENG,DF,Leicester City,31-238,1993,1,0,8,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Craig Dawson,eng ENG,DF,Wolves,34-167,1990,6,4,391,4.3,0,0,0,0,0,0,1,0,0.1,0.1,0,0.2,4,11,3,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches
Cristian Romero,ar ARG,DF,Tottenham,26-176,1998,8,8,720,8,1,0,1,1,0,0,0,0,1,1,0.3,1.2,7,35,1,0.12,0,0.12,0.12,0.12,0.12,0.03,0.16,0.12,0.16,Matches
Crysencio Summerville,nl NED,"FW,MF",West Ham,22-356,2001,7,1,174,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,7,1,21,0,0,0,0,0,0.06,0.14,0.2,0.06,0.2,Matches
Curtis Jones,eng ENG,MF,Liverpool,23-264,2001,4,1,152,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,1,7,3,0,0,0,0,0,0.15,0.03,0.18,0.15,0.18,Matches
